"","word","Life and Times (1881)","My Bondage (1855)","Narrative Life (1845)","Travel Diary","sum_word_counts"
"1","slave",398,539,146,2,1085
"2","slavery",471,470,94,1,1036
"3","time",357,248,126,13,744
"4","master",261,355,124,1,741
"5","slaves",229,286,132,1,648
"6","people",313,166,18,31,528
"7","life",206,186,40,15,447
"8","colored",298,108,29,2,437
"9","day",191,127,50,46,414
"10","free",186,132,36,4,358
"11","house",151,119,44,10,324
"12","home",161,105,42,6,314
"13","white",146,107,44,4,301
"14","covey",99,138,61,0,298
"15","country",180,84,11,9,284
"16","found",118,100,47,16,281
"17","power",155,105,14,5,279
"18","friends",150,94,16,2,262
"19","baltimore",91,113,44,0,248
"20","told",116,82,43,7,248
"21","children",80,127,33,4,244
"22","hands",105,93,41,3,242
"23","called",105,77,37,17,236
"24","hand",109,89,26,4,228
"25","american",108,96,8,7,219
"26","slaveholders",65,121,30,1,217
"27","south",134,62,14,2,212
"28","anti",116,78,13,0,207
"29","left",90,71,42,2,205
"30","condition",93,80,26,1,200
"31","freedom",89,79,29,2,199
"32","thomas",90,85,21,1,197
"33","liberty",96,82,13,0,191
"34","heart",75,88,26,1,190
"35","human",75,96,13,4,188
"36","world",85,77,8,10,180
"37","north",107,50,21,0,178
"38","mind",75,77,21,4,177
"39","god",53,92,25,6,176
"40","night",79,62,26,8,175
"41","plantation",41,97,36,0,174
"42","united",115,54,4,0,173
"43","read",70,65,33,3,171
"44","blood",59,75,35,1,170
"45","escape",69,74,24,1,168
"46","law",83,66,16,0,165
"47","city",85,37,12,28,162
"48","spirit",74,69,17,1,161
"49","poor",62,72,23,0,157
"50","brought",79,57,14,6,156
"51","head",66,61,23,6,156
"52","public",72,76,7,0,155
"53","character",62,74,16,2,154
"54","means",75,61,18,0,154
"55","slaveholder",48,84,22,0,154
"56","words",73,59,20,2,154
"57","nature",64,83,6,0,153
"58","john",107,25,13,5,150
"59","morning",52,50,24,23,149
"60","hugh",58,72,18,0,148
"61","reader",53,93,2,0,148
"62","days",64,50,17,16,147
"63","word",76,48,20,3,147
"64","class",97,37,11,1,146
"65","manner",62,65,12,7,146
"66","auld",63,67,14,0,144
"67","field",58,60,25,1,144
"68","lloyd",61,62,21,0,144
"69","col",50,91,0,0,141
"70","black",70,58,9,0,137
"71","death",53,47,32,4,136
"72","hope",67,47,18,2,134
"73","church",47,61,11,14,133
"74","family",57,61,11,2,131
"75","friend",76,41,6,6,129
"76","mother",45,65,15,4,129
"77","heard",56,53,15,4,128
"78","experience",53,65,9,0,127
"79","hard",51,52,18,6,127
"80","henry",57,43,23,4,127
"81","matter",41,65,21,0,127
"82","war",110,12,4,1,127
"83","negro",87,34,4,0,125
"84","met",61,44,13,5,123
"85","moment",57,47,18,1,123
"86","money",65,40,17,1,123
"87","held",70,40,11,1,122
"88","st",41,59,21,0,121
"89","england",66,44,3,6,119
"90","land",46,51,14,8,119
"91","times",54,41,21,3,119
"92","masters",43,52,23,0,118
"93","true",66,42,9,1,118
"94","union",76,25,17,0,118
"95","question",69,45,3,0,117
"96","sense",59,46,9,3,117
"97","feeling",63,38,13,1,115
"98","hold",49,42,23,0,114
