"","word","Volume 2 (1843-1858)","Volume 7 (1863-1865)","sum_word_counts"
"1","lincoln",133,432,565
"2","washington",50,366,416
"3","united",65,320,385
"4","war",100,270,370
"5","president",110,179,289
"6","slavery",241,44,285
"7","1864",0,280,280
"8","government",90,177,267
"9","people",153,113,266
"10","executive",9,252,261
"11","congress",124,126,250
"12","time",121,109,230
"13","secretary",26,202,228
"14","telegram",0,223,223
"15","mansion",0,212,212
"16","day",80,129,209
"17","free",159,39,198
"18","country",98,95,193
"19","union",103,82,185
"20","grant",5,171,176
"21","law",119,48,167
"22","military",16,146,162
"23","major",4,156,160
"24","question",119,37,156
"25","department",38,114,152
"26","letter",63,88,151
"27","public",73,73,146
"28","1865",0,144,144
"29","constitution",86,57,143
"30","missouri",111,31,142
"31","received",46,96,142
"32","slave",132,8,140
"33","subject",68,69,137
"34","act",58,75,133
"35","hundred",50,74,124
"36","proclamation",2,122,124
"37","city",1,122,123
"38","governor",17,105,122
"39","power",63,56,119
"40","judge",88,29,117
"41","house",70,46,116
"42","illinois",95,18,113
"43","national",31,82,113
"44","service",15,98,113
"45","election",43,69,112
"46","nebraska",107,2,109
"47","vote",80,24,104
"48","army",25,78,103
"49","march",24,79,103
"50","sir",50,53,103
"51","principle",91,10,101
"52","dear",71,29,100
"53","hon",25,72,97
"54","thousand",21,75,96
"55","bill",86,9,95
"56","december",23,70,93
"57","january",18,75,93
"58","persons",20,73,93
"59","friends",67,25,92
"60","february",11,80,91
"61","nation",40,47,87
"62","opinion",69,18,87
"63","report",29,56,85
"64","compromise",82,2,84
"65","office",59,25,84
"66","slaves",66,18,84
"67","1863",0,82,82
"68","territory",76,6,82
"69","april",14,66,80
"70","authority",29,51,80
"71","party",64,16,80
"72","true",61,18,79
"73","south",57,21,78
"74","district",66,11,77
"75","land",60,17,77
"76","matter",52,25,77
"77","send",27,50,77
"78","message",34,42,76
"79","william",29,46,75
"80","citizens",22,52,74
"81","july",14,60,74
"82","line",53,20,73
"83","representatives",38,35,73
"84","call",16,56,72
"85","purpose",31,41,72
"86","va",0,72,72
"87","liberty",43,28,71
"88","lieutenant",0,71,71
"89","springfield",65,6,71
"90","favor",47,22,69
"91","days",31,37,68
"92","force",24,43,67
"93","north",45,22,67
"94","passed",49,18,67
"95","texas",62,5,67
"96","court",55,11,66
"97","peace",26,40,66
"98","proper",24,42,66
"99","understand",48,18,66
"100","white",48,18,66
"101","senate",28,37,65
"102","suppose",47,18,65
"103","virginia",33,32,65
"104","gentlemen",23,41,64
"105","kansas",62,2,64
"106","mexico",55,8,63
"107","called",28,34,62
"108","laws",28,34,62
"109","november",7,55,62
"110","political",45,17,62
"111","position",40,22,62
"112","answer",30,31,61
"113","argument",54,6,60
"114","view",30,30,60
"115","god",18,41,59
"116","return",21,38,59
"117","set",19,40,59
"118","speech",54,5,59
"119","condition",20,38,58
"120","naval",0,58,58
"121","officers",10,48,58
"122","world",30,28,58
"123","clay",53,4,57
"124","rebellion",2,55,57
"125","committee",40,16,56
"126","convention",21,35,56
"127","john",25,31,56
"128","treasury",20,36,56
"129","equal",44,11,55
"130","held",33,22,55
"131","hope",30,25,55
"132","judgment",33,22,55
"133","navy",7,48,55
"134","object",36,19,55
"135","reason",34,21,55
"136","votes",39,16,55
"137","found",27,27,54
"138","left",36,18,54
"139","majority",41,13,54
"140","wrong",43,11,54
"141","june",16,37,53
"142","soldiers",1,52,53
"143","declaration",48,4,52
"144","hand",24,28,52
"145","hands",27,25,52
"146","life",30,22,52
"147","support",27,25,52
"148","twenty",29,23,52
"149","effect",14,36,50
"150","heard",32,18,50
"151","improvements",50,0,50
"152","duty",19,30,49
"153","friend",36,13,49
