"","word","Travel Diary","sum_word_counts","Works","distance"
"1","slave",0,1110,"Life and Times (1881)",0.379279279279279
"2","slave",0,1110,"My Bondage (1855)",0.483783783783784
"3","slave",0,1110,"Narrative Life (1845)",0.12972972972973
"4","slavery",0,979,"Life and Times (1881)",0.421859039836568
"5","slavery",0,979,"My Bondage (1855)",0.47906026557712
"6","slavery",0,979,"Narrative Life (1845)",0.0949948927477017
"7","time",0,784,"Life and Times (1881)",0.489795918367347
"8","time",0,784,"My Bondage (1855)",0.299744897959184
"9","time",0,784,"Narrative Life (1845)",0.144132653061224
"10","master",0,772,"Life and Times (1881)",0.376943005181347
"11","master",0,772,"My Bondage (1855)",0.458549222797927
"12","master",0,772,"Narrative Life (1845)",0.159326424870466
"13","slaves",0,667,"Life and Times (1881)",0.370314842578711
"14","slaves",0,667,"My Bondage (1855)",0.427286356821589
"15","slaves",0,667,"Narrative Life (1845)",0.19640179910045
"16","one",0,648,"Life and Times (1881)",0.851851851851852
"17","one",0,648,"My Bondage (1855)",-0.0740740740740741
"18","one",0,648,"Narrative Life (1845)",-0.0740740740740741
"19","people",0,568,"Life and Times (1881)",0.566901408450704
"20","people",0,568,"My Bondage (1855)",0.237676056338028
"21","people",0,568,"Narrative Life (1845)",-0.022887323943662
"22","colored",0,490,"Life and Times (1881)",0.712244897959184
"23","colored",0,490,"My Bondage (1855)",0.216326530612245
"24","colored",0,490,"Narrative Life (1845)",0.0551020408163265
"25","life",0,484,"Life and Times (1881)",0.471074380165289
"26","life",0,484,"My Bondage (1855)",0.353305785123967
"27","life",0,484,"Narrative Life (1845)",0.0516528925619835
"28","upon",0,463,"Life and Times (1881)",0.874730021598272
"29","upon",0,463,"My Bondage (1855)",-0.0626349892008639
"30","upon",0,463,"Narrative Life (1845)",-0.0626349892008639
"31","man",0,443,"Life and Times (1881)",0.941309255079007
"32","man",0,443,"My Bondage (1855)",-0.0293453724604966
"33","man",0,443,"Narrative Life (1845)",-0.0293453724604966
"34","day",0,407,"Life and Times (1881)",0.339066339066339
"35","day",0,407,"My Bondage (1855)",0.199017199017199
"36","day",0,407,"Narrative Life (1845)",0.00982800982800983
"37","men",0,381,"Life and Times (1881)",0.910761154855643
"38","men",0,381,"My Bondage (1855)",-0.0446194225721785
"39","men",0,381,"Narrative Life (1845)",-0.0446194225721785
"40","free",0,363,"Life and Times (1881)",0.515151515151515
"41","free",0,363,"My Bondage (1855)",0.352617079889807
"42","free",0,363,"Narrative Life (1845)",0.0881542699724518
"43","now",0,355,"Life and Times (1881)",0.836619718309859
"44","now",0,355,"My Bondage (1855)",-0.0816901408450704
"45","now",0,355,"Narrative Life (1845)",-0.0816901408450704
"46","house",0,336,"Life and Times (1881)",0.455357142857143
"47","house",0,336,"My Bondage (1855)",0.324404761904762
"48","house",0,336,"Narrative Life (1845)",0.101190476190476
"49","“",0,333,"Life and Times (1881)",1
"50","“",0,333,"My Bondage (1855)",0
"51","“",0,333,"Narrative Life (1845)",0
"52","made",0,325,"Life and Times (1881)",0.926153846153846
"53","made",0,325,"My Bondage (1855)",-0.0369230769230769
"54","made",0,325,"Narrative Life (1845)",-0.0369230769230769
"55","white",0,324,"Life and Times (1881)",0.509259259259259
"56","white",0,324,"My Bondage (1855)",0.317901234567901
"57","white",0,324,"Narrative Life (1845)",0.123456790123457
"58","country",0,323,"Life and Times (1881)",0.65015479876161
"59","country",0,323,"My Bondage (1855)",0.232198142414861
"60","country",0,323,"Narrative Life (1845)",0.00619195046439629
"61","home",0,323,"Life and Times (1881)",0.507739938080495
"62","home",0,323,"My Bondage (1855)",0.306501547987616
"63","home",0,323,"Narrative Life (1845)",0.111455108359133
"64","found",0,308,"Life and Times (1881)",0.418831168831169
"65","found",0,308,"My Bondage (1855)",0.272727272727273
"66","found",0,308,"Narrative Life (1845)",0.100649350649351
"67","covey",0,307,"Life and Times (1881)",0.351791530944625
"68","covey",0,307,"My Bondage (1855)",0.449511400651466
"69","covey",0,307,"Narrative Life (1845)",0.198697068403909
"70","power",0,303,"Life and Times (1881)",0.574257425742574
"71","power",0,303,"My Bondage (1855)",0.33003300330033
"72","power",0,303,"Narrative Life (1845)",0.0297029702970297
"73","great",0,300,"Life and Times (1881)",0.853333333333333
"74","great",0,300,"My Bondage (1855)",-0.0733333333333333
"75","great",0,300,"Narrative Life (1845)",-0.0733333333333333
"76","old",0,300,"Life and Times (1881)",0.866666666666667
"77","old",0,300,"My Bondage (1855)",-0.0666666666666667
"78","old",0,300,"Narrative Life (1845)",-0.0666666666666667
"79","said",0,295,"Life and Times (1881)",0.877966101694915
"80","said",0,295,"My Bondage (1855)",-0.0610169491525424
